data,dia,horario,rodada,id_arena,id_clube1,id_clube2,id_clube_vencedor,id_estado_clube1,id_estado_clube2,id_estado_vencedor,qtd_gols_clube1,qtd_gols_clube2
22/08/2015,Sábado,18h30,20ª Rodada,71,25,5,25,25,24,25,5,2
22/08/2015,Sábado,18h30,20ª Rodada,69,16,28,16,9,19,9,3,0
22/08/2015,Sábado,21h00,20ª Rodada,59,13,27,13,24,17,24,2,1
23/08/2015,Domingo,11h00,20ª Rodada,54,22,17,0,25,21,0,0,0
23/08/2015,Domingo,11h00,20ª Rodada,29,10,8,10,16,24,16,1,0
23/08/2015,Domingo,16h00,20ª Rodada,7,9,12,9,25,13,25,3,0
23/08/2015,Domingo,16h00,20ª Rodada,51,14,26,14,19,25,19,2,1
23/08/2015,Domingo,16h00,20ª Rodada,21,18,4,18,21,16,21,2,0
23/08/2015,Domingo,16h00,20ª Rodada,15,19,15,19,24,19,24,2,1
23/08/2015,Domingo,18h30,20ª Rodada,40,3,21,3,13,25,13,2,1
29/08/2015,Sábado,18h30,21ª Rodada,51,28,13,13,19,24,24,0,1
29/08/2015,Sábado,21h00,21ª Rodada,56,26,22,26,25,25,25,3,0
30/08/2015,Domingo,11h00,21ª Rodada,11,17,10,0,21,16,0,0,0
30/08/2015,Domingo,11h00,21ª Rodada,66,5,18,5,24,21,24,3,0
30/08/2015,Domingo,16h00,21ª Rodada,4,21,19,21,25,24,25,3,2
30/08/2015,Domingo,16h00,21ª Rodada,51,15,3,3,19,13,13,1,2
30/08/2015,Domingo,16h00,21ª Rodada,17,27,14,14,17,19,19,0,1
30/08/2015,Domingo,16h00,21ª Rodada,6,8,9,9,24,25,25,1,3
30/08/2015,Domingo,18h30,21ª Rodada,52,12,25,25,13,25,25,0,1
30/08/2015,Domingo,18h30,21ª Rodada,9,4,16,4,16,9,16,3,0
02/09/2015,Quarta-feira,19h30,22ª Rodada,15,19,26,0,24,25,0,0,0
02/09/2015,Quarta-feira,19h30,22ª Rodada,21,18,28,18,21,19,21,6,0
02/09/2015,Quarta-feira,19h30,22ª Rodada,54,22,12,12,25,13,13,1,2
02/09/2015,Quarta-feira,21h00,22ª Rodada,10,14,5,14,19,24,19,3,0
02/09/2015,Quarta-feira,21h00,22ª Rodada,40,3,4,4,13,16,16,0,1
02/09/2015,Quarta-feira,22h00,22ª Rodada,7,9,15,9,25,19,25,2,0
02/09/2015,Quarta-feira,22h00,22ª Rodada,29,10,27,0,16,17,0,0,0
02/09/2015,Quarta-feira,22h00,22ª Rodada,69,16,21,16,9,25,9,1,0
03/09/2015,Quinta-feira,19h30,22ª Rodada,71,25,8,25,25,24,25,3,1
03/09/2015,Quinta-feira,21h00,22ª Rodada,59,13,17,17,24,21,21,0,2
05/09/2015,Sábado,19h30,23ª Rodada,56,26,18,26,25,21,25,2,0
05/09/2015,Sábado,19h30,23ª Rodada,51,28,3,3,19,13,13,1,2
05/09/2015,Sábado,21h00,23ª Rodada,9,4,19,0,16,24,0,0,0
06/09/2015,Domingo,11h00,23ª Rodada,6,8,22,0,24,25,0,0,0
06/09/2015,Domingo,11h00,23ª Rodada,52,12,13,12,13,24,13,5,1
06/09/2015,Domingo,16h00,23ª Rodada,4,21,9,0,25,25,0,3,3
06/09/2015,Domingo,16h00,23ª Rodada,51,15,14,14,19,19,19,1,3
06/09/2015,Domingo,16h00,23ª Rodada,11,17,16,17,21,9,21,2,1
06/09/2015,Domingo,16h00,23ª Rodada,66,5,10,10,24,16,16,0,2
06/09/2015,Domingo,18h30,23ª Rodada,39,27,25,0,17,25,0,1,1
09/09/2015,Quarta-feira,19h30,24ª Rodada,54,22,28,28,25,19,19,0,1
09/09/2015,Quarta-feira,19h30,24ª Rodada,21,18,21,18,21,25,21,1,0
09/09/2015,Quarta-feira,19h30,24ª Rodada,40,3,5,3,13,24,13,2,0
09/09/2015,Quarta-feira,21h00,24ª Rodada,59,13,4,0,24,16,0,1,1
09/09/2015,Quarta-feira,22h00,24ª Rodada,7,9,17,0,25,21,0,1,1
09/09/2015,Quarta-feira,22h00,24ª Rodada,71,25,26,25,25,25,25,3,0
09/09/2015,Quarta-feira,22h00,24ª Rodada,29,10,15,0,16,19,0,1,1
10/09/2015,Quinta-feira,19h30,24ª Rodada,69,16,27,16,9,17,9,1,0
10/09/2015,Quinta-feira,21h00,24ª Rodada,51,14,12,14,19,13,19,2,0
10/09/2015,Quinta-feira,21h00,24ª Rodada,15,19,8,0,24,24,0,0,0
